Dateandtime,BC1,BC2,BC3,BC4,BC5,BC6,BC7
2022-04-13 10:00:00,7.045,4.614,3.57,2.884,2.53,2.462,2.508
2022-04-13 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-13 13:00:00,3.789,2.647,2.221,2.035,1.955,1.981,2.001
2022-04-13 14:00:00,2.195,2.2,2.05,2.019,1.996,2.147,2.115
2022-04-13 15:00:00,1.91,1.846,1.711,1.631,1.618,1.764,1.789
2022-04-13 16:00:00,2.189,1.804,1.597,1.51,1.477,1.603,1.665
2022-04-13 17:00:00,2.531,1.666,1.373,1.24,1.163,1.217,1.277
2022-04-13 18:00:00,2.09,1.285,1.007,0.906,0.841,0.79,0.85
2022-04-13 19:00:00,2.996,2.593,2.37,2.315,2.241,2.321,2.464
2022-04-13 20:00:00,2.25,2.327,2.277,2.291,2.283,2.44,2.507
2022-04-13 21:00:00,3.33,2.655,2.378,2.252,2.165,2.179,2.197
2022-04-13 22:00:00,8.201,5.168,4.176,3.757,3.433,3.342,3.396
2022-04-13 23:00:00,3.687,3.178,2.885,2.752,2.622,2.675,2.71
2022-04-14 00:00:00,3.317,3.19,3.002,2.963,2.842,2.879,2.9
2022-04-14 02:00:00,1.152,1.169,1.124,1.097,1.104,1.211,1.249
2022-04-14 03:00:00,0.886,0.881,0.866,0.864,0.86,0.906,0.955
2022-04-14 04:00:00,1.488,1.542,1.44,1.434,1.384,1.516,1.517
2022-04-14 05:00:00,1.69,1.742,1.672,1.654,1.597,1.692,1.756
2022-04-14 06:00:00,1.444,1.449,1.38,1.412,1.355,1.378,1.422
2022-04-14 08:00:00,1.785,0.994,0.755,0.677,0.6,0.52,0.494
2022-04-14 09:00:00,2.045,1.79,1.652,1.598,1.533,1.506,1.566
2022-04-14 10:00:00,2.274,2.054,1.91,1.877,1.809,1.853,1.835
2022-04-14 11:00:00,1.728,1.57,1.476,1.461,1.468,1.497,1.539
2022-04-14 12:00:00,2.353,1.612,1.395,1.279,1.257,1.253,1.26
2022-04-14 13:00:00,1.862,1.505,1.382,1.356,1.354,1.37,1.388
2022-04-14 14:00:00,1.941,1.83,1.707,1.696,1.654,1.703,1.7
