Dateandtime,BC1,BC2,BC3,BC4,BC5,BC6,BC7
2022-04-24 19:00:00,1.829,1.393,1.289,1.192,1.158,1.247,1.201
2022-04-24 20:00:00,2.831,1.867,1.579,1.453,1.366,1.322,1.349
2022-04-24 21:00:00,1.55,1.209,1.056,1.002,0.93,1.035,1.032
2022-04-24 22:00:00,1.731,1.49,1.346,1.268,1.23,1.325,1.346
2022-04-24 23:00:00,0.888,0.958,0.927,0.923,0.93,1.029,1.072
2022-04-25 00:00:00,0.527,0.544,0.504,0.502,0.474,0.506,0.503
2022-04-25 01:00:00,0.434,0.418,0.39,0.362,0.338,0.387,0.363
2022-04-25 02:00:00,0.277,0.338,0.322,0.343,0.364,0.397,0.396
2022-04-25 03:00:00,0.177,0.174,0.163,0.17,0.171,0.158,0.181
2022-04-25 04:00:00,0.468,0.468,0.475,0.488,0.513,0.577,0.594
2022-04-25 05:00:00,0.095,0.125,0.108,0.131,0.114,0.127,0.135
2022-04-25 06:00:00,0.139,0.151,0.148,0.125,0.148,0.17,0.188
2022-04-25 07:00:00,0.16,0.184,0.184,0.172,0.164,0.134,0.128
2022-04-25 08:00:00,0.313,0.288,0.3,0.303,0.311,0.3,0.323
2022-04-25 09:00:00,0.089,0.111,0.101,0.087,0.059,0.091,0.061
2022-04-25 10:00:00,1.146,1.153,1.127,1.111,1.084,1.101,1.103
2022-04-25 11:00:00,0.656,0.561,0.513,0.477,0.418,0.387,0.39
2022-04-25 12:00:00,1.263,0.769,0.642,0.58,0.539,0.548,0.54
2022-04-25 13:00:00,1.023,0.564,0.416,0.375,0.278,0.276,0.301
2022-04-25 14:00:00,0.654,0.455,0.395,0.397,0.345,0.346,0.372
2022-04-25 15:00:00,0.191,0.158,0.146,0.148,0.13,0.107,0.084
2022-04-25 16:00:00,0.372,0.344,0.358,0.331,0.32,0.321,0.341
2022-04-25 17:00:00,1.432,0.936,0.788,0.735,0.669,0.626,0.651
2022-04-25 18:00:00,1.937,1.234,1.028,0.947,0.896,0.865,0.887
2022-04-25 19:00:00,0.502,0.497,0.483,0.481,0.428,0.466,0.461
2022-04-25 20:00:00,0.458,0.411,0.407,0.38,0.356,0.385,0.393
2022-04-25 21:00:00,1.843,1.132,0.912,0.803,0.734,0.715,0.718
2022-04-25 22:00:00,1.689,0.992,0.796,0.68,0.613,0.589,0.615
2022-04-25 23:00:00,3.458,1.864,1.406,1.17,1.076,1.082,1.077
2022-04-26 00:00:00,0.428,0.481,0.442,0.42,0.424,0.446,0.49
2022-04-26 01:00:00,0.353,0.397,0.39,0.383,0.366,0.425,0.399
2022-04-26 02:00:00,0.506,0.545,0.478,0.485,0.481,0.51,0.541
2022-04-26 03:00:00,0.291,0.342,0.353,0.353,0.349,0.352,0.38
2022-04-26 04:00:00,0.235,0.256,0.269,0.26,0.228,0.265,0.241
2022-04-26 05:00:00,0.179,0.156,0.19,0.148,0.179,0.212,0.17
2022-04-26 06:00:00,0.303,0.321,0.333,0.33,0.315,0.331,0.324
2022-04-26 07:00:00,1.5,1.491,1.437,1.41,1.389,1.443,1.447
2022-04-26 08:00:00,2.97,1.612,1.222,1.051,0.944,0.867,0.876
2022-04-26 09:00:00,2.97,1.579,1.172,0.987,0.89,0.81,0.815
2022-04-26 10:00:00,0.943,0.954,0.91,0.919,0.9,0.913,0.906
2022-04-26 11:00:00,2.816,1.577,1.198,1.033,0.937,0.853,0.849
2022-04-26 12:00:00,1.807,1.212,1.012,0.922,0.874,0.867,0.887
2022-04-26 13:00:00,1.776,1.549,1.417,1.356,1.306,1.372,1.431
