BC6,press_1min,temp_1min,rh_1min,speed_true_1min,lat,lon
2.2,1017.9,15.6,66.0,5.1,28.87534333333333,124.21476833333334
1.654,1018.2,15.9,71.0,5.5,28.800140000000003,124.34579166666664
1.614,1018.0,16.2,74.0,6.9,28.719908333333333,124.50084000000001
3.447,1017.7,16.3,74.0,6.6,28.67603166666667,124.58046
2.338,1017.6,16.7,75.0,5.3,28.578353333333332,124.77095499999999
1.731,1017.0,17.2,70.0,5.9,28.65757666666667,124.84611666666667
1.645,1016.5,17.2,68.0,6.1,28.81433833333333,124.95553
1.496,1016.6,16.8,74.0,5.9,28.96939833333333,125.06546500000002
1.124,1016.6,16.5,71.0,5.3,29.103661666666667,125.20624333333333
1.163,1016.6,16.3,67.0,6.6,29.253276666666668,125.31550666666665
1.148,1016.8,16.0,64.0,6.2,29.405295,125.42066000000001
1.497,1017.3,15.8,66.0,5.0,29.560540000000003,125.52667833333335
1.397,1017.5,15.5,70.0,4.6,29.70870333333333,125.65510333333336
1.321,1017.3,15.0,71.0,5.1,29.862973333333336,125.78157333333333
1.08,1016.6,15.8,67.0,4.9,29.57404,125.54690833333335
2.096,1019.0,18.0,67.0,6.3,27.10504,122.70117666666665
0.464,1018.3,17.7,61.0,8.7,27.19425833333333,122.56050666666667
0.664,1018.7,18.9,49.0,5.3,26.669215,122.37918499999999
0.829,1019.0,19.5,46.0,3.3,26.442271666666667,122.42221333333333
0.768,1018.0,19.8,48.0,3.7,26.326666666666664,122.45070666666668
2.406,1017.0,19.9,49.0,3.8,26.166125,122.488265
2.817,1016.3,20.6,49.0,3.7,25.995246666666667,122.51587833333333
3.942,1016.4,21.4,46.0,3.7,25.823709999999995,122.54992166666668
3.222,1016.6,21.3,47.0,3.9,25.65266333333333,122.57397833333336
2.223,1016.3,21.3,48.0,4.2,25.50412333333334,122.60483333333335
1.589,1016.7,21.3,49.0,7.0,25.57945833333333,122.59939
1.344,1017.4,21.2,49.0,6.1,26.000200000000003,122.47482
1.427,1015.4,20.2,58.0,7.1,26.26991833333333,122.12163833333335
1.871,1015.1,17.3,86.0,7.9,26.630565,121.53345833333334
0.927,1015.0,14.6,88.0,10.8,26.754749999999998,121.35191000000002
0.74,1015.4,14.1,90.0,7.8,26.902803333333335,121.100715
0.959,1013.8,14.2,91.0,3.3,27.088935,121.01340166666665
1.141,1013.0,14.2,91.0,2.2,27.194426666666665,121.11725666666668
0.727,1013.0,14.3,91.0,1.9,27.304859999999998,121.21889666666667
0.743,1013.2,14.6,91.0,2.2,27.41344333333333,121.32184166666667
0.926,1013.3,14.8,90.0,0.2,27.41723833333333,121.32479499999998
0.465,1013.9,15.4,88.0,0.5,27.487719999999996,121.37479
1.733,1014.2,15.8,85.0,1.9,27.643343333333338,121.50235166666667
1.073,1013.7,16.8,83.0,5.1,27.635701666666666,121.91621333333333
0.782,1013.1,16.9,84.0,8.5,27.55024333333333,122.03933999999998
0.395,1012.7,17.3,86.0,5.8,27.448806666666666,122.17115
1.126,1011.9,18.1,85.0,4.9,27.60805666666667,122.39947333333333
0.75,1012.1,18.8,82.0,3.9,27.738116666666667,122.58100333333331
0.766,1012.5,19.1,85.0,5.3,27.86301333333333,122.75677833333333
0.721,1013.5,18.8,88.0,5.6,28.106855000000003,123.09983333333334
0.185,1014.0,18.5,91.0,3.5,28.159348333333334,123.175995
0.017,1013.9,19.0,90.0,7.1,28.142706666666665,123.20360166666666
0.95,1013.6,19.0,88.0,9.3,28.056721666666668,123.37957999999999
0.589,1013.5,18.9,89.0,7.0,28.00314333333333,123.47751333333333
0.63,1012.9,19.0,93.0,3.8,28.17194166666667,123.150725
0.375,1012.9,18.6,95.0,3.8,28.241744999999998,123.021765
0.161,1012.9,18.8,96.0,3.7,28.307553333333335,122.88732499999999
0.7,1013.3,19.2,96.0,5.5,28.310611666666667,122.88069333333333
0.847,1013.8,19.1,95.0,3.8,28.373859999999997,122.79254999999999
0.897,1013.9,18.5,97.0,3.3,28.45815,122.60194333333332
1.241,1013.5,18.5,97.0,2.2,28.55915,122.38989833333332
1.15,1013.0,18.9,97.0,2.9,28.63053,122.28006833333332
0.442,1012.4,19.0,97.0,3.7,28.671539999999997,122.30543833333336
1.323,1011.5,18.8,96.0,3.2,28.857783333333337,122.38489833333333
1.101,1010.2,18.4,98.0,4.7,29.170193333333337,122.574865
1.524,1011.0,18.3,98.0,3.9,30.16818333333333,123.03339666666666
1.064,1011.0,17.9,98.0,2.8,30.36235166666667,123.00440333333333
1.016,1011.2,18.1,99.0,2.8,30.68948833333333,123.00413166666668
0.813,1010.6,18.6,96.0,1.9,30.88404833333333,123.01880166666666
1.832,1010.4,17.4,95.0,6.2,31.11185833333333,122.9974
1.044,1010.9,17.1,94.0,4.2,31.807036666666665,123.00636333333333
0.907,1010.7,16.3,97.0,2.6,32.148161666666674,122.999075
1.611,1010.2,14.6,97.0,4.6,32.34576666666666,122.99610666666668
0.973,1009.6,15.2,97.0,3.3,32.706515,122.98148000000002
0.973,1009.7,14.9,97.0,4.6,32.91127333333333,122.99674666666668
1.393,1009.9,13.8,98.0,4.9,33.066113333333334,123.00451833333334
1.065,1010.3,13.7,98.0,4.1,33.447869999999995,123.00204333333333
1.441,1010.5,13.7,98.0,4.6,33.57214833333333,123.00334833333334
0.993,1010.2,13.6,98.0,4.7,33.75092166666666,123.01228166666667
0.738,1010.2,13.3,98.0,4.5,33.93049833333334,123.01813166666668
0.793,1009.6,12.4,98.0,4.4,34.500685,123.00104666666665
0.685,1009.7,12.6,98.0,5.9,34.500685,123.00094499999999
0.663,1010.0,12.7,98.0,5.7,34.500515,123.00101333333333
0.189,1010.4,13.0,98.0,5.2,34.500573333333335,123.00105333333335
0.93,1010.7,13.2,98.0,4.5,34.654925,123.00056333333333
0.161,1009.4,13.8,93.0,5.2,35.507468333333335,122.97143499999999
1.188,1008.7,13.4,95.0,5.5,35.58382999999999,122.754835
0.976,1007.9,13.5,96.0,6.2,35.65799666666667,122.54102833333334
0.637,1008.3,13.2,96.0,7.1,35.72330166666666,122.34558333333334
1.195,1007.8,13.4,95.0,7.5,35.78886333333333,122.13624
0.88,1008.3,13.6,96.0,8.4,35.69226499999999,121.98894833333333
1.322,1008.2,14.2,95.0,9.4,35.86747666666666,121.61094
1.029,1007.5,13.3,94.0,8.5,36.15537666666667,121.05994833333335
0.506,1007.3,14.0,93.0,11.2,36.24186833333333,120.85897833333331
0.387,1007.4,14.2,93.0,11.9,36.244205,120.85742499999999
0.397,1007.3,14.1,95.0,8.9,36.24425666666667,120.85746166666667
0.158,1007.8,13.1,97.0,10.0,36.24429,120.85742499999999
0.577,1007.9,12.3,98.0,10.5,36.24429833333334,120.85741166666668
0.127,1008.0,12.0,98.0,7.0,36.24420833333334,120.85750666666667
0.17,1008.3,12.1,98.0,6.1,36.24431333333334,120.85732666666665
0.134,1008.5,11.8,98.0,4.0,36.24426666666667,120.85730166666667
0.3,1009.4,11.8,98.0,4.2,36.24427833333333,120.85691333333334
0.091,1009.2,12.5,98.0,4.7,36.24411500000001,120.85656333333333
1.101,1009.2,12.4,98.0,4.9,36.24370833333334,120.85630833333336
0.387,1008.4,12.5,98.0,5.2,36.24308833333334,120.85599333333332
0.276,1007.7,12.5,98.0,6.6,36.31442833333333,120.74270000000001
0.346,1007.1,12.5,98.0,5.7,36.31453166666667,120.74264333333335
0.107,1005.9,12.2,98.0,3.4,36.31501666666666,120.74265166666667
0.321,1005.3,12.7,98.0,2.6,36.314923333333326,120.74257166666666
0.626,1005.0,13.0,99.0,5.1,36.315041666666666,120.74267833333333
0.715,1005.1,13.1,99.0,6.3,36.31476,120.74253666666667
0.589,1005.0,13.2,99.0,3.6,36.3147,120.74257666666665
1.082,1004.5,13.6,99.0,5.2,36.31460666666666,120.74259666666667
0.446,1004.1,13.4,99.0,3.2,36.314525,120.74266833333336
0.425,1004.1,13.6,99.0,1.6,36.314521666666664,120.74270666666668
