BC,Pressure,Temperature,RH,Wind speed
0.161,1012.9,18.8,96.0,3.7
0.7,1013.3,19.2,96.0,5.5
0.847,1013.8,19.1,95.0,3.8
0.897,1013.9,18.5,97.0,3.3
1.241,1013.5,18.5,97.0,2.2
1.15,1013.0,18.9,97.0,2.9
0.442,1012.4,19.0,97.0,3.7
1.323,1011.5,18.8,96.0,3.2
1.101,1010.2,18.4,98.0,4.7
1.524,1011.0,18.3,98.0,3.9
1.064,1011.0,17.9,98.0,2.8
1.016,1011.2,18.1,99.0,2.8
0.813,1010.6,18.6,96.0,1.9
1.832,1010.4,17.4,95.0,6.2
1.044,1010.9,17.1,94.0,4.2
0.907,1010.7,16.3,97.0,2.6
1.611,1010.2,14.6,97.0,4.6
