AETHALOMETER
Serial number = AE33-S08-00991
Application version = 1.6.9.0
Number of channels = 7

Date(yyyy/MM/dd); Time(hh:mm:ss); Timebase; RefCh1; Sen1Ch1; Sen2Ch1; RefCh2; Sen1Ch2; Sen2Ch2; RefCh3; Sen1Ch3; Sen2Ch3; RefCh4; Sen1Ch4; Sen2Ch4; RefCh5; Sen1Ch5; Sen2Ch5; RefCh6; Sen1Ch6; Sen2Ch6; RefCh7; Sen1Ch7; Sen2Ch7; Flow1; Flow2; FlowC; Pressure(Pa); Temperature(°C); BB(%); ContTemp; SupplyTemp; Status; ContStatus; DetectStatus; LedStatus; ValveStatus; LedTemp; BC11; BC12; BC1; BC21; BC22; BC2; BC31; BC32; BC3; BC41; BC42; BC4; BC51; BC52; BC5; BC61; BC62; BC6; BC71; BC72; BC7; K1; K2; K3; K4; K5; K6; K7; TapeAdvCount;


2022/05/24 00:06:00 60 935068 692665 723373 925496 732859 747828 922008 720552 722825 930860 801415 803525 921444 831361 828487 859338 874074 874550 902980 853675 849415 3864 1121 4985 101325 21.11 35.9 32 38 0 0 10 10 00000 34 1343 1518 1364 1064 1120 1066 951 1073 949 857 912 851 808 909 799 775 895 764 791 976 781 0.001358344 0.0003360798 -0.0004445385 -0.001539676 -0.002878416 -0.005 -0.005 2511 5 9 0 
2022/05/24 00:07:00 60 935058 691487 722984 925461 732056 747560 921967 719913 722608 930900 800911 803388 921407 830870 828320 859331 873717 874438 902952 853336 849295 3864 1119 4983 101325 21.11 44.4 32 41 0 0 10 10 00000 34 1352 1455 1374 1075 1124 1077 947 992 944 857 940 851 785 795 776 761 787 750 752 782 742 0.001358344 0.0003360798 -0.0004445385 -0.001539676 -0.002878416 -0.005 -0.005 2511 5 9 0 
2022/05/24 00:08:00 60 935103 690368 722629 925494 731300 747332 921979 719308 722421 930980 800435 803282 921486 830473 828238 859370 873394 874359 903030 853078 849264 3864 1120 4984 101325 21.11 37.4 32 38 0 0 10 10 00000 34 1333 1487 1355 1085 1193 1088 959 1054 957 867 958 861 804 909 795 789 890 777 798 870 787 0.001358344 0.0003360798 -0.0004445385 -0.001539676 -0.002878416 -0.005 -0.005 2511 5 9 0 
2022/05/24 00:09:00 60 935118 689221 722242 925454 730482 747039 921983 718693 722213 931005 799895 803111 921426 829917 828020 859338 872994 874202 902985 852698 849097 3864 1121 4985 101325 21.11 36.0 32 41 0 0 10 10 00000 35 1342 1520 1365 1092 1221 1095 966 1132 963 895 1054 888 862 974 852 800 932 788 813 1039 801 0.001358344 0.0003360798 -0.0004445385 -0.001539676 -0.002878416 -0.005 -0.005 2511 5 9 0 
2022/05/24 00:10:00 60 935151 688175 721923 925481 729789 746853 921996 718146 722066 931069 799452 803026 921508 829567 827973 859377 872721 874153 903001 852426 849042 3864 1120 4984 101325 21.11 45.2 32 38 0 0 10 10 00000 35 1242 1316 1263 993 974 996 871 844 869 794 768 788 729 717 720 680 665 670 691 584 682 0.001358344 0.0003360798 -0.0004445385 -0.001539676 -0.002878416 -0.005 -0.005 2511 5 9 0 
2022/05/24 00:11:00 60 935071 687045 721501 925382 728977 746546 921890 717492 721795 930924 798803 802733 921341 828972 827685 859269 872275 873935 902896 852029 848850 3864 1119 4983 101325 21.11 43.9 32 40 0 0 10 10 00000 35 1245 1378 1267 1022 1066 1024 894 1010 892 837 921 830 765 821 756 732 812 721 718 779 708 0.001358344 0.0003360798 -0.0004445385 -0.001539676 -0.002878416 -0.005 -0.005 2511 5 9 0 
2022/05/24 00:12:00 60 935213 686066 721259 925474 728311 746384 922007 717001 721718 931203 798512 802822 921568 828718 827749 859417 872067 873988 903065 851861 848906 3864 1119 4983 101325 21.11 32.0 32 38 0 0 10 10 00000 35 1261 1345 1283 1029 1109 1032 912 906 909 847 831 840 789 833 779 780 732 768 789 859 778 0.001358344 0.0003360798 -0.0004445385 -0.001539676 -0.002878416 -0.005 -0.005 2511 5 9 0 
2022/05/24 00:13:00 60 935141 684960 720850 925377 727518 746082 921915 716356 721459 931092 797915 802563 921426 828152 827488 859309 871626 873771 902946 851460 848698 3864 1119 4983 101325 21.11 45.2 32 40 0 0 10 10 00000 35 1228 1353 1250 1000 1051 1002 899 1005 897 802 896 795 755 794 745 722 805 711 696 803 686 0.001358344 0.0003360798 -0.0004445385 -0.001539676 -0.002878416 -0.005 -0.005 2511 5 9 0 
2022/05/24 00:14:00 60 935248 683983 720593 925448 726866 745922 921982 715853 721355 931251 797540 802559 921588 827854 827512 859402 871391 873767 903043 851261 848714 3864 1119 4983 101325 21.11 42.7 32 40 0 0 10 10 00000 35 1232 1300 1254 988 1021 991 871 841 868 817 774 810 764 723 755 718 740 707 701 628 690 0.001358344 0.0003360798 -0.0004445385 -0.001539676 -0.002878416 -0.005 -0.005 2511 5 9 0 
2022/05/24 00:15:00 60 935138 682864 720140 925315 726039 745587 921869 715195 721092 931047 796864 802214 921392 827232 827188 859282 870941 873544 902889 850803 848465 3864 1120 4984 101325 21.11 35.5 32 40 0 0 10 10 00000 35 1215 1410 1237 1010 1070 1013 896 938 893 802 928 795 769 880 759 716 758 705 755 870 744 0.001358344 0.0003360798 -0.0004445385 -0.001539676 -0.002878416 -0.005 -0.005 2511 5 9 0 
